"model","manufacturer","lens_type","lens_mount","focal_length_mm","min_wd_mm","distortion_percent","image_circle_mm","megapixel_rating","recommended_min_pixel_um","pmag","nominal_wd_mm","wd_tolerance_mm","max_sensor_diagonal_mm","telecentricity_deg","dof_mm","numerical_aperture","f_number","coaxial_illumination","notes"
"WWH15-63CTV3","COOLENS","ObjectTelecentric","","0","0","0.04","11","0","0","1.5","63","1","11","0.03","0.3","0","7.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH15-65AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1.5","65","1","11","0.1","0.4","0","12.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH15-65CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1.5","65","1","11","0.1","0.4","0","12.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.04","11","0","0","2","108","0","11","0.05","0.2","0","10.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-108CTLV3","COOLENS","ObjectTelecentric","","0","0","0.04","11","0","0","2","108","0","11","0.05","0.2","0","10.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-108CTV3","COOLENS","ObjectTelecentric","","0","0","0.04","11","0","0","2","108","0","11","0.05","0.2","0","10.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-110AT-G","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","2","110","2","11","0.1","0.4","0","18.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-110ATV2-D40","COOLENS","ObjectTelecentric","","0","0","0.1","2","0","0","2","110","2","2","0.1","0.4","0","27.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-110CT-G","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","2","110","2","11","0.1","0.4","0","18.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-300AT-230V2","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","2","300","0","11","0.05","0.3","0","14.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-300CT-230V2","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","2","300","0","11","0.05","0.3","0","14.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","2","63","1","11","0.02","0.2","0","10","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-63CTLV3","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","2","63","1","11","0.02","0.2","0","10","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-63CTV3","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","2","63","1","11","0.02","0.2","0","10","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-65AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","2","65","1","11","0.1","0.3","0","13.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-65ATV2","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","2","65","1","11","0.03","0.3","0","13.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-65CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","2","65","1","11","0.1","0.3","0","13.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH20-65CTV2","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","2","65","1","11","0.03","0.3","0","13.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH25-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","2.5","108","0","11","0.05","0.16","0","12.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH25-108CTLV3","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","2.5","108","0","11","0.05","0.16","0","12.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH25-108CTV3","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","2.5","108","0","11","0.05","0.16","0","12.5","false","COOLENS WWH 5MP telecentric official product list"
"WWH25-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","2.5","63","1","11","0.05","0.1","0","9.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH25-63CTLV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","2.5","63","1","11","0.05","0.1","0","9.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH25-63CTV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","2.5","63","1","11","0.05","0.1","0","9.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH30-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","3","108","0","11","0.04","0.13","0","15","false","COOLENS WWH 5MP telecentric official product list"
"WWH30-108CTLV3","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","3","108","0","11","0.04","0.13","0","15","false","COOLENS WWH 5MP telecentric official product list"
"WWH30-108CTV3","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","3","108","0","11","0.04","0.13","0","15","false","COOLENS WWH 5MP telecentric official product list"
"WWH30-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","3","63","1","11","0.04","0.1","0","11.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH30-63CTLV3","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","3","63","1","11","0.04","0.1","0","11.9","false","COOLENS WWH 5MP telecentric official product list"
